물품대분류,상품명,물품판매량,제품단가
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입 (EA),27,8133
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입,110,10600
FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입 (EA),26,6788
FC,좋은느낌 유기농순면 뉴 맥시슬림 수퍼롱 오버나이트 8개입 (EA),37,6555
FC,좋은느낌 유기농순면 뉴 맥시슬림 오버나이트 12개입 (EA),23,7642
FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,22,25200
FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,24,25575
FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 대형 16개입 (EA),17,8735
FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 중형 18개입 (EA),11,8640
FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2,149,10933
FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2 (EA),5,7200
FC,좋은느낌 입는 오버나이트 대형 8개입,444,14301
FC,좋은느낌 입는 오버나이트 대형 8개입 (EA),19,14560
FC,좋은느낌 입는 오버나이트 대형 8개입 X2,11,32582
FC,좋은느낌 입는 오버나이트 대형 8개입 X 2,12,24267
FC,좋은느낌 입는 오버나이트 중형 8개입,206,14178
FC,좋은느낌 입는 오버나이트 중형 8개입 (EA),9,10640
FC,좋은느낌 입는 오버나이트 중형 8개입 X2,13,22400
FC,좋은느낌 입는 오버나이트 중형 8개입 X 2,15,25387
FC,좋은느낌 좋은순면 슬림 날개 수퍼롱 10개입,23,13283
FC,좋은느낌 좋은순면 울트라 날개 대형 17개입,95,9881
FC,좋은느낌 좋은순면 울트라 날개 대형 17개입 (EA),1,5670
FC,좋은느낌 좋은순면 울트라 날개 중형 19개입,121,10674
FC,좋은느낌 좋은순면 울트라 날개 중형 19개입 (EA),1,5670
FC,좋은느낌 좋은순면 팬티라이너 롱 36개입,479,8023
FC,좋은느낌 좋은순면 팬티라이너 롱 36개입 (EA),18,5400
FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입,609,9277
FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입 (EA),9,8000
FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입 X 3,24,21938
FC,좋은느낌라이너 유기농순면 롱 팬티라이너 36개입 (EA),27,7000
